File Size (KB),Average Load Time (ns)
86.17578125,     13264241.3 
947.50390625,    94025176.7
1808.83203125,   162288759.9
2670.16015625,   232862425.6
3531.48828125,   301267892.9
4392.81640625,   372201685.2
5254.14453125,   441819280.4
6115.47265625,   511382416.9
6976.80078125,   581675977.6
7838.12890625,   649971920.0
8699.45703125,   717134702.4
9560.78515625,   802780977.4
10422.11328125,  857756591.9
11283.44140625,  925230707.7
12144.76953125,  994462141.6
13006.09765625,  1076000835.4
