.wav file,File Size (KB),Load Time (ns)
0,86.17578125,12704865
1,86.17578125,12792962
2,86.17578125,12893060
3,86.17578125,12937995
4,86.17578125,12971781
5,86.17578125,13066764
6,86.17578125,13167071
7,86.17578125,13307912
8,86.17578125,13511272
9,86.17578125,15288731
10,947.50390625,91165453
11,947.50390625,91548435
12,947.50390625,92216631
13,947.50390625,92634035
14,947.50390625,92652501
15,947.50390625,92936317
16,947.50390625,93404094
17,947.50390625,93492524
18,947.50390625,93640180
19,947.50390625,106561597
20,1808.83203125,161128666
21,1808.83203125,161741184
22,1808.83203125,161788059
23,1808.83203125,162273675
24,1808.83203125,162289564
25,1808.83203125,162364895
26,1808.83203125,162398141
27,1808.83203125,162452368
28,1808.83203125,163108366
29,1808.83203125,163342681
30,2670.16015625,230722091
31,2670.16015625,232324587
32,2670.16015625,232460892
33,2670.16015625,232676774
34,2670.16015625,232940484
35,2670.16015625,233063184
36,2670.16015625,233136236
37,2670.16015625,233391319
38,2670.16015625,233683581
39,2670.16015625,234225108
40,3531.48828125,300500753
41,3531.48828125,300528300
42,3531.48828125,300879576
43,3531.48828125,301062052
44,3531.48828125,301223971
45,3531.48828125,301391464
46,3531.48828125,301602457
47,3531.48828125,301678258
48,3531.48828125,301778324
49,3531.48828125,302033774
50,4392.81640625,370938691
51,4392.81640625,371033407
52,4392.81640625,371804024
53,4392.81640625,371832898
54,4392.81640625,372058963
55,4392.81640625,372246091
56,4392.81640625,372592269
57,4392.81640625,372616401
58,4392.81640625,372687676
59,4392.81640625,374206432
60,5254.14453125,440282230
61,5254.14453125,440503326
62,5254.14453125,441478802
63,5254.14453125,441502745
64,5254.14453125,441600583
65,5254.14453125,442106943
66,5254.14453125,442247212
67,5254.14453125,442312580
68,5254.14453125,443035381
69,5254.14453125,443123002
70,6115.47265625,509735389
71,6115.47265625,509832176
72,6115.47265625,509918285
73,6115.47265625,510824239
74,6115.47265625,511117000
75,6115.47265625,511452420
76,6115.47265625,512128681
77,6115.47265625,512320170
78,6115.47265625,512348114
79,6115.47265625,514147695
80,6976.80078125,579948408
81,6976.80078125,580469673
82,6976.80078125,581369409
83,6976.80078125,581594733
84,6976.80078125,581699197
85,6976.80078125,581717237
86,6976.80078125,582022692
87,6976.80078125,582056736
88,6976.80078125,582304736
89,6976.80078125,583576955
90,7838.12890625,648261545
91,7838.12890625,648372109
92,7838.12890625,648782268
93,7838.12890625,649185408
94,7838.12890625,649601478
95,7838.12890625,649756282
96,7838.12890625,650527067
97,7838.12890625,650569835
98,7838.12890625,652131689
99,7838.12890625,652531519
100,8699.45703125,702550502
101,8699.45703125,706394245
102,8699.45703125,710597483
103,8699.45703125,714094431
104,8699.45703125,716023721
105,8699.45703125,716375525
106,8699.45703125,717058167
107,8699.45703125,718563864
108,8699.45703125,719170698
109,8699.45703125,750518388
110,9560.78515625,785548565
111,9560.78515625,788607762
112,9560.78515625,789049910
113,9560.78515625,789472750
114,9560.78515625,795701245
115,9560.78515625,802442623
116,9560.78515625,802753651
117,9560.78515625,814858265
118,9560.78515625,819332482
119,9560.78515625,840042521
120,10422.11328125,855089451
121,10422.11328125,855912942
122,10422.11328125,855970834
123,10422.11328125,857222689
124,10422.11328125,857254104
125,10422.11328125,857654994
126,10422.11328125,857996089
127,10422.11328125,858407680
128,10422.11328125,858510847
129,10422.11328125,863546289
130,11283.44140625,921537795
131,11283.44140625,923334100
132,11283.44140625,924088324
133,11283.44140625,924735652
134,11283.44140625,925550519
135,11283.44140625,925571713
136,11283.44140625,926326025
137,11283.44140625,926428038
138,11283.44140625,927214885
139,11283.44140625,927520026
140,12144.76953125,989104734
141,12144.76953125,993236992
142,12144.76953125,993680514
143,12144.76953125,993717196
144,12144.76953125,994436530
145,12144.76953125,994797848
146,12144.76953125,995237605
147,12144.76953125,995665865
148,12144.76953125,996463528
149,12144.76953125,998280604
150,13006.09765625,1068400723
151,13006.09765625,1069679169
152,13006.09765625,1072455932
153,13006.09765625,1073677516
154,13006.09765625,1073705864
155,13006.09765625,1074819913
156,13006.09765625,1076989210
157,13006.09765625,1079805943
158,13006.09765625,1079991287
159,13006.09765625,1090482797
