Library	File Size (KB)	Load Time (ns)
stempeg	86.17578125	0.096270641
ar_ffmpeg	86.17578125	0.039310137
torchaudio-ffmpeg	86.17578125	0.007045492
torchaudio-streamreader	86.17578125	0.007215635
stempeg	947.5039063	0.095576262
ar_ffmpeg	947.5039063	0.044803548
torchaudio-ffmpeg	947.5039063	0.012237827
torchaudio-streamreader	947.5039063	0.012014
stempeg	1808.832031	0.104733308
ar_ffmpeg	1808.832031	0.045998096
torchaudio-ffmpeg	1808.832031	0.01875879
torchaudio-streamreader	1808.832031	0.014472604
stempeg	2670.160156	0.111289938
ar_ffmpeg	2670.160156	0.047146789
torchaudio-ffmpeg	2670.160156	0.01758407
torchaudio-streamreader	2670.160156	0.017001303
stempeg	3531.488281	0.118745097
ar_ffmpeg	3531.488281	0.054956301
torchaudio-ffmpeg	3531.488281	0.019069298
torchaudio-streamreader	3531.488281	0.02065587
stempeg	4392.816406	0.119668563
ar_ffmpeg	4392.816406	0.051318836
torchaudio-ffmpeg	4392.816406	0.022059464
torchaudio-streamreader	4392.816406	0.024190863
stempeg	5254.144531	0.136915159
ar_ffmpeg	5254.144531	0.052093132
torchaudio-ffmpeg	5254.144531	0.026901666
torchaudio-streamreader	5254.144531	0.028222632
stempeg	6115.472656	0.140050133
ar_ffmpeg	6115.472656	0.050226959
torchaudio-ffmpeg	6115.472656	0.028822867
torchaudio-streamreader	6115.472656	0.029787501
stempeg	6976.800781	0.152078772
ar_ffmpeg	6976.800781	0.055829398
torchaudio-ffmpeg	6976.800781	0.030812097
torchaudio-streamreader	6976.800781	0.032578468
stempeg	7838.128906	0.165209635
ar_ffmpeg	7838.128906	0.058104968
torchaudio-ffmpeg	7838.128906	0.034314632
torchaudio-streamreader	7838.128906	0.036294731
stempeg	8699.457031	0.167403992
ar_ffmpeg	8699.457031	0.058036494
torchaudio-ffmpeg	8699.457031	0.036040004
torchaudio-streamreader	8699.457031	0.037839572
stempeg	9560.785156	0.170279503
ar_ffmpeg	9560.785156	0.06134696
torchaudio-ffmpeg	9560.785156	0.038167866
torchaudio-streamreader	9560.785156	0.043167996
stempeg	10422.11328	0.179627069
ar_ffmpeg	10422.11328	0.06314954
torchaudio-ffmpeg	10422.11328	0.040875395
torchaudio-streamreader	10422.11328	0.044226432
stempeg	11283.44141	0.180460572
ar_ffmpeg	11283.44141	0.088343636
torchaudio-ffmpeg	11283.44141	0.044577837
torchaudio-streamreader	11283.44141	0.046942107
stempeg	12144.76953	0.191131099
ar_ffmpeg	12144.76953	0.06494236
torchaudio-ffmpeg	12144.76953	0.0472363
torchaudio-streamreader	12144.76953	0.050620969
stempeg	13006.09766	0.193085464
ar_ffmpeg	13006.09766	0.073234367
torchaudio-ffmpeg	13006.09766	0.050291602
torchaudio-streamreader	13006.09766	0.054331271
